symbol,company,market_cap,industry,lodged,title,date_effective,tiers,window_model,ad_hoc_blackout_authority,dealing_covers_derivatives,dealing_covers_agreements_to_deal,dealing_covers_encumbrance,dealing_covers_stock_lending,dealing_covers_change_of_beneficial_ownership,securities_include_otc_derivatives,substance_over_form,secured_financing_scope,forced_sale_in_closed_period,unvested_as_collateral,financing_disclosure,minimum_shareholding_requirement,exemption_authority,external_documents,jurisdiction_overlays,funded_collar,summary
STO,SANTOS LIMITED,26891560117,Energy,2020-08-03,Securities Dealing Policy (Version 2),3 August 2020,"Directors, executives and employees | Designated Persons | Directors | Connected Persons",open,"The Board or CEO controls the calendar in both directions. A Trading Window opens only by a decision of the Board or CEO, in consultation with the Disclosure Officers, and only once the Company Secretary has given written notification; Designated Persons may not assume a window is open even after the relevant announcement or AGM. A Trading Window may be varied, suspended or withdrawn by the Board or the CEO at any time, and may be opened for some or all Designated Persons only.",yes,yes,no,not_addressed,not_addressed,yes,not_addressed,any_secured_financing,breach,not_addressed,,,"Section 4.6 allows a written application to the Company Secretary to deal outside a Trading Window due to severe financial difficulty or other exceptional circumstances, cleared by the Chairman for Directors and by the Company Secretary or CEO for other Designated Personnel. That authority relieves only the Trading Window restriction in section 4.1; there is no waiver power over the section 4.9 margin lending and security ban, the section 4.8 short-term and speculative dealing ban, or the section 5 hedging ban.",Market Communication & Continuous Disclosure Policy (source of the Disclosure Officers consulted before a Trading Window is opened) | Non-Executive Director equity plan and Santos employee equity plan rules | Further guidance on the requirements of this policy and the law on the company's intranet site,,blocked,"A funded collar is not possible for any Designated Person, which covers all Non-Executive Directors, the CEO, the Executive Committee, their direct reports and every employee at Job Grade 13 or above. Section 4.9 bans not only margin lending but 'any other arrangements where any form of security is granted over Santos securities', so the loan secured on the collared shares is prohibited outright, and the only discretionary relief in the policy, section 4.6, reaches the Trading Window restriction alone and cannot waive it. The derivative legs on their own would be workable over vested, unrestricted shares, because the section 5 hedging ban stops at vesting and release from a holding lock, but they are dealings requiring prior written clearance inside a Board-notified Trading Window, valid 5 business days, revocable and conditionable at absolute discretion, and refusable on the front page test with no reasons. Tenor is also constrained: forward contracts are expressly branded speculative dealing and on-market round trips inside 3 months are prohibited, and for an off-market trade the dealing is timed at settlement, so physical settlement of a collar must itself fall in an open window. Only employees who are not Designated Persons sit outside the financing ban, and for them the policy still warns that a forced sale under a secured facility could itself breach the policy."
NWS,NEWS CORPORATION..,25941422787,Media & Entertainment,2026-08-09,Securities Trading Policy (Exhibit 19.1 to the Form 10-K for the fiscal year ended 30 June 2026),June 2013,Covered Persons | Section 16 Reporting Persons | Designated Individuals | Restricted Persons | family members and controlled entities,closed,The Company may implement additional black-out periods from time to time with regard to certain Covered Persons or groups who are aware of non-public information regarding potentially significant matters. They are confidential: any person made aware of such an additional black-out must not disclose its existence to anyone inside or outside the Company. The Board of Directors or the General Counsel may modify the Policy or grant an exception where circumstances make it appropriate.,yes,yes,not_addressed,not_addressed,no,yes,not_addressed,any_secured_financing,not_addressed,prohibited,,,"The Company's Board of Directors or the Company's General Counsel may modify the Policy or grant an exception where the circumstances make it appropriate and it is in compliance with applicable law (section 2.B). This is the only relief valve; there is no hardship, financial-need or court-order exception, and the clause is stated in the context of black-out periods but is drafted at Policy level. The General Counsel and the Legal Department also administer pre-clearance and the Rule 10b5-1 guidelines.","Proxy Statement, 'Compensation Discussion and Analysis—Securities Trading Policy and Prohibition on Hedging of News Corporation Stock' (incorporated by reference into Item 10 of the Form 10-K as the Company's insider trading policy disclosure) | The Company's equity compensation plans (govern grant, vesting, net and cashless exercise) | The Company's 401(k) retirement savings plan, pension plan and other similar plans | The Company's standardized form of Rule 10b5-1 Trading Plan, which the Company may require Covered Persons to use | SEC Rule 10b5-1, Section 16 of the Exchange Act and Rule 144 of the Securities Act","US federal securities law: Exchange Act section 10(b) and Rule 10b-5, Section 16 reporting and short-swing profit liability, Rule 10b5-1 affirmative defence and its 2022 cooling-off, certification, overlapping-plan and single-transaction conditions, and Securities Act Rule 144 | Nasdaq Global Select Market (primary listing venue; 'Trading Day' means a day on which the Nasdaq Stock Market is open for trading) | ASX: the Policy expressly treats CHESS Depositary Interests representing Class A and Class B Common Stock as Company securities, but states no separate Australian law, ASX Listing Rule 12.9 or Corporations Act overlay",blocked,"A funded collar is not available to a News Corp director or executive under this Policy. Both legs fail independently: section 2.A bans investing in Company-based derivative securities, expressly including put and call option contracts and straddles, with no venue limit so OTC options with a bank are caught, and the same section prohibits Covered Persons from hedging or pledging any equity compensation or Company securities they hold directly, which defeats the loan security as well as the hedge. The bans apply to every Covered Person and, through the Scope section, to family members and controlled entities, so a trust or holding company does not help, and the only carve-out is holding and exercising Company-granted options and RSUs. Layered on top for Section 16 Reporting Persons and Designated Individuals are quarterly black-outs running from fourteen days before quarter end until one Trading Day after results, General Counsel pre-clearance valid for five Trading Days, and a six-month minimum holding period on open-market purchases reinforced by short-swing profit disgorgement. The only conceivable route is a bespoke modification or exception approved by the Board of Directors or the General Counsel under section 2.B; absent that, the realistic alternative is a pre-cleared Rule 10b5-1 sale plan, which may trade notwithstanding the other prohibitions but whose Appendix A conditions expressly forbid any corresponding or hedging position over the plan securities."
NWSLV,NEWS CORPORATION..,25941422787,Media & Entertainment,2026-08-09,Securities Trading Policy (Exhibit 19.1 to the Form 10-K for the fiscal year ended 30 June 2026),June 2013,Covered Persons | Section 16 Reporting Persons | Designated Individuals | Restricted Persons | family members and controlled entities,closed,The Company may implement additional black-out periods from time to time with regard to certain Covered Persons or groups who are aware of non-public information regarding potentially significant matters. They are confidential: any person made aware of such an additional black-out must not disclose its existence to anyone inside or outside the Company. The Board of Directors or the General Counsel may modify the Policy or grant an exception where circumstances make it appropriate.,yes,yes,not_addressed,not_addressed,no,yes,not_addressed,any_secured_financing,not_addressed,prohibited,,,"The Company's Board of Directors or the Company's General Counsel may modify the Policy or grant an exception where the circumstances make it appropriate and it is in compliance with applicable law (section 2.B). This is the only relief valve; there is no hardship, financial-need or court-order exception, and the clause is stated in the context of black-out periods but is drafted at Policy level. The General Counsel and the Legal Department also administer pre-clearance and the Rule 10b5-1 guidelines.","Proxy Statement, 'Compensation Discussion and Analysis—Securities Trading Policy and Prohibition on Hedging of News Corporation Stock' (incorporated by reference into Item 10 of the Form 10-K as the Company's insider trading policy disclosure) | The Company's equity compensation plans (govern grant, vesting, net and cashless exercise) | The Company's 401(k) retirement savings plan, pension plan and other similar plans | The Company's standardized form of Rule 10b5-1 Trading Plan, which the Company may require Covered Persons to use | SEC Rule 10b5-1, Section 16 of the Exchange Act and Rule 144 of the Securities Act","US federal securities law: Exchange Act section 10(b) and Rule 10b-5, Section 16 reporting and short-swing profit liability, Rule 10b5-1 affirmative defence and its 2022 cooling-off, certification, overlapping-plan and single-transaction conditions, and Securities Act Rule 144 | Nasdaq Global Select Market (primary listing venue; 'Trading Day' means a day on which the Nasdaq Stock Market is open for trading) | ASX: the Policy expressly treats CHESS Depositary Interests representing Class A and Class B Common Stock as Company securities, but states no separate Australian law, ASX Listing Rule 12.9 or Corporations Act overlay",blocked,"A funded collar is not available to a News Corp director or executive under this Policy. Both legs fail independently: section 2.A bans investing in Company-based derivative securities, expressly including put and call option contracts and straddles, with no venue limit so OTC options with a bank are caught, and the same section prohibits Covered Persons from hedging or pledging any equity compensation or Company securities they hold directly, which defeats the loan security as well as the hedge. The bans apply to every Covered Person and, through the Scope section, to family members and controlled entities, so a trust or holding company does not help, and the only carve-out is holding and exercising Company-granted options and RSUs. Layered on top for Section 16 Reporting Persons and Designated Individuals are quarterly black-outs running from fourteen days before quarter end until one Trading Day after results, General Counsel pre-clearance valid for five Trading Days, and a six-month minimum holding period on open-market purchases reinforced by short-swing profit disgorgement. The only conceivable route is a bespoke modification or exception approved by the Board of Directors or the General Counsel under section 2.B; absent that, the realistic alternative is a pre-cleared Rule 10b5-1 sale plan, which may trade notwithstanding the other prohibitions but whose Appendix A conditions expressly forbid any corresponding or hedging position over the plan securities."
BXB,BRAMBLES LIMITED,25914862138,Commercial & Professional Services,2017-07-03,Securities Trading Policy,3 July 2017,Designated Persons | Directors | Chairman | Other employees | Connected persons,closed,"Brambles (no officer specified) may impose additional periods when price sensitive information may exist; these with Closed Periods are 'Prohibited Periods'. Confidentiality of the ad hoc period itself is not addressed, but a person told they cannot Deal must not communicate that fact to others.",yes,yes,no,no,not_addressed,yes,not_addressed,any_secured_financing,breach,prohibited,,,"The approver under 3.1 (Chairman, or Deputy Chairman/CEO, or Company Secretary) may in their discretion approve a sale or disposal during a Prohibited Period for severe financial hardship or exceptional circumstances (court order, overriding legal requirement, or other circumstances the Chairman or CEO deems exceptional), in advance only and on a declaration of no inside information. No authority exists to waive the derivatives ban (2.4) or the Security Interest ban (2.5).",,,blocked,"A funded collar is not possible under this policy. Section 2.4 bans Designated Persons (Directors, ELT, Band 4 and above, HQ staff and their connected persons) from trading any Brambles Derivatives, a term that expressly includes options granted by third parties and collars, so the purchased put and written call are prohibited outright over vested and unvested shares alike. Section 2.5 separately bans granting any pledge, lien, charge, mortgage or other encumbrance over Brambles Securities, so the loan secured on the collared shares is also prohibited, and the policy warns that a lender's enforcement sale in a Closed Period would itself be a breach. Neither ban has an approval or exemption route; the hardship and exceptional-circumstances discretion only covers sales or disposals during Prohibited Periods. The only financing left open is an investment loan that takes no security over Brambles Securities."
JHX,JAMES HARDIE INDUSTRIES PLC,24065489830,Materials,2011-05-16,Insider Trading Policy,May 2011,Insiders | Designated Persons | Directors | Associates,open,"The Compliance Officer (the General Counsel, or if unavailable the Company Secretary) may prohibit some or all Insiders and their Associates from Dealing in specific Securities or Company Securities, and may further prohibit one or more groups of Insiders and Associates from Dealing during certain periods, including Open Periods. All such decisions must be recorded in the Compliance Officer's register. The Board may also determine Black-out Periods 'or such other time as determined by the Board from time to time'. The policy does not say whether these prohibitions are confidential, but Insiders may inspect the register only to the extent it concerns them.",yes,not_addressed,yes,not_addressed,not_addressed,yes,yes,not_addressed,not_addressed,not_addressed,"Designated Persons; inception of any pledge (a pledge is a Deal); Compliance Officer; written notice not less than five ASX trading days before the intended Dealing, plus subsequent confirmation of the Dealing | Directors; any resulting change to their relevant interest in Company Securities; the Company, for ASX Appendix 3Y lodgment; within two ASX trading days",,"An employee may request a specific exemption from the Section 2 prohibitions (including the Hedging Transaction and Short Swing Profit bans), setting out reasons and the Section 7 information. An exemption is granted only if the Company is satisfied there are good reasons to waive the prohibition, for instance employee hardship, and that approval will not undermine the underlying spirit of the Policy and applicable securities laws. Approved by the CFO or General Counsel, or, for a Director or a direct report to the CEO, by the Chairman of the Board or the Audit Committee; all exemptions granted are reported to the Board. Other than exemptions expressly approved this way, 'there are no exceptions to this Policy'.","Appendices to the Policy summarising certain provisions of Australian, U.S. and Irish law (stated to form part of the Policy but not contained in the lodged document) | Code of Business Conduct and Ethics | Market Communication Policy | Register maintained by the Compliance Officer of designated persons, prohibitions, clearance requests and clearances granted | List of other Securities designated by the Compliance Officer from time to time (available only on request to the Compliance Officer)","Australia: Corporations Act 2001 (Cth) s 1043A insider trading, ss 182-183 improper use of information, s 1041A market manipulation, s 1041E false and misleading statements | United States: U.S. Securities Exchange Act of 1934, U.S. Securities Act of 1933 and the rules, regulations and case law thereunder (the Short Swing Profit concept mirrors s 16(b)) | Ireland: the Company is a Societas Europaea domiciled in Dublin and the appendices summarise Irish law",workable,"A funded collar is not available to a director or senior executive of James Hardie without a specific exemption. Designated Persons, which expressly include all Directors, the CEO, CFO, Financial Controller and Vice Presidents, and their Associates 'must not engage in Dealings undertaken for Short Swing Profit or Hedging Transactions at any time', and the Hedging Transaction definition names call and put options and any other derivative that limits the economic risk of Company Securities, so both collar legs are banned outright regardless of vesting state or window. The only route is a Section 6 specific exemption from the Section 2 prohibitions, granted by the CFO or General Counsel (or, for a Director or a direct report to the CEO, the Chairman of the Board or the Audit Committee) on hardship-style good reasons that do not undermine the spirit of the Policy, and reported to the Board. The funding leg is by contrast unconstrained: the policy says nothing about margin lending, secured financing, margin calls or forced sales, and the only requirement is that the pledge, being within the definition of Deal, be pre-cleared in writing five ASX trading days ahead and executed inside the four-week Open Period that starts two trading days after a quarterly announcement. Below Designated Person level a collar over vested shares is genuinely available, needing only an Open Period execution, no Inside Information, and notification to the Compliance Officer within 7 days after dealing."
S32,SOUTH32 LIMITED,23509185267,Materials,2022-12-05,Securities Dealing Policy,29 November 2022,Employees | Restricted Employees | KMP | South32 Lead Team members | PCAs,closed,"Section 4.3(c) allows 'any other period that is specified as a closed period for dealings from time to time', including a period specified if required by applicable law; the Policy does not name who specifies it. Separately, Company Secretariat may notify an Employee that they are a Restricted Employee and must not deal whilst their name is on a specific distribution list, a confidential project list or an insider list. The Policy does not say whether such designations are announced or kept confidential.",yes,not_addressed,yes,not_addressed,yes,yes,not_addressed,any_secured_financing,not_addressed,not_addressed,"KMP and their PCAs; any dealing, which expressly includes using the Company's shares as security for a loan; Company Secretariat; by close of business at the latest on the day of the dealing | KMP and their PCAs; any dealing; UK Financial Conduct Authority; within three business days of the dealing | KMP; any dealing; ASX (by Company Secretariat); ASX lodgement within five business days of the Director's dealing, LSE announcement within two business days of receipt of notification",,"Two routes. Section 8.2: the relevant approver (Chair of the Board, Chair of the Risk and Audit Committee, CEO or delegate, or Company Secretary depending on tier) may determine that the Policy does not apply to other types of dealings, provided no law or regulation is breached. Section 7.2: in exceptional circumstances the same approvers may permit a sale, but not a purchase, during a closed period, on evidence that sale is the only reasonable course of action and that approval is permitted under Australian and UK law. Neither route is expressed as available to waive the section 6.9 restricted dealings, although the section 8.2 wording is open-ended.","Securities Dealing Procedure (sets out how Employees implement the Policy and how approval requests must be made) | Code of Business Conduct and Values | ASX Listing Rules Guidance Note 27 (section 6.1 list, referenced in clause 8.2)","UK: LSE listing; KMP and their PCAs must notify the UK Financial Conduct Authority of dealings within three business days, and closed-period relief must be permitted under UK as well as Australian law | South Africa: JSE listing; Company Secretariat discloses KMP dealings to the Johannesburg Stock Exchange | United States: ADR programme (SOUHY) | Australia: ASX Listing Rules and Guidance Note 27; ASX lodgement of Director dealings within five business days",blocked,"A funded collar is not possible for a South32 director, KMP or Lead Team member. Section 6.9 imposes a flat, approval-free ban on four things a funded collar requires: trading derivative products issued over or in respect of South32 securities, entering hedging arrangements that limit exposure to those securities, entering margin lending or other secured financing arrangements in respect of them, and dealing on a short-term (three month) basis; the bans are not confined to unvested or plan securities and extend to spouses, controlled companies and trusts through the PCA definition. The only relief mechanisms are sale-only approvals in exceptional circumstances during a closed period and the open-ended section 8.2 power for the relevant approver to determine that the Policy does not apply to other types of dealings, which is illustrated only by routine Guidance Note 27 exclusions and should not be relied on without a board-level waiver. Below Lead Team level the position differs sharply: section 6.9 does not apply to ordinary Employees or notified Restricted Employees, for whom the option and loan legs are simply dealings requiring, at most, prior approval from the CEO or Company Secretary outside a closed period. Any transaction that were approved must be executed within two business days and, for KMP and their PCAs, notified to Company Secretariat by close of business on the day of dealing and on to ASX, LSE, JSE and the UK FCA."
CPU,COMPUTERSHARE LIMITED.,22973534420,Commercial & Professional Services,2015-06-16,Securities Trading Policy,11 June 2015,Computershare Person | Designated Person | Director | Connected Person,open,"The Board may designate any other period as a Prohibited Period from time to time; it must be notified to each Designated Person, so it is not confidential as against them. The Policy does not say whether such a designation is announced to the market.",yes,yes,no,not_addressed,not_addressed,yes,not_addressed,not_addressed,excluded_dealing,not_addressed,"Designated Person; on the lender demanding payment where there is a risk it cannot be met without disposing of Computershare Securities (not at inception, and not annually); the relevant Nominated Director; immediately | Director; any Deal (including entry into a Derivative); the Company Secretary, then ASX under Listing Rule 3.19A; within two business days of the Dealing, ASX lodgement within five business days, disclosing whether clearance was granted to Deal during a Prohibited Period","No minimum shareholding requirement. Section D.9 only encourages each director, officer and employee to be a long-term holder of Computershare Securities.","The Nominated Director has sole discretion to grant clearance to sell (but not purchase) during a Prohibited Period on severe financial hardship or other exceptional circumstances, and must be satisfied the disposal is the only reasonable course of action. The Board may determine exceptional circumstances permitting cancellation of a Trading Plan during a Prohibited Period, and only the Board may amend the Policy. There is no general power to waive the D.5 hedging ban or the D.10 short selling ban.","Computershare Deferred Long Term Incentive Plan and other employee equity incentive plan rules (referred to but not set out; disposal restrictions on vested awards are determined under those rules) | Schedule 1 list of Designated Persons, as extended by persons nominated by the Group CEO or Group CFO from time to time | ASX Listing Rule 3.19A notification","The Policy expressly does not deal with foreign law, while noting that foreign insider trading laws may apply to directors, officers and employees residing outside Australia",workable,"A funded collar is achievable for a Computershare Designated Person over fully vested Securities, and this is one of the most permissive policies in the set. Section D.5 bans hedging only of unvested incentive awards and vested awards still subject to disposal restrictions, and then expressly states that once hurdles are satisfied and disposal restrictions lifted, Derivatives may be used, with the definition of Derivatives naming collars outright. There is no prohibition on margin lending or secured financing: the loan leg is unregulated at inception, the only obligation being immediate notice to the Nominated Director once the lender demands payment in circumstances where Computershare Securities may have to be sold, and an involuntary disposal by the lender is then an exempt Dealing even in a Prohibited Period. Conditions are that every derivative leg needs prior written clearance from the Nominated Director (the Chairman of the Board for Directors, the CEO for other Designated Persons, responded to within two business days and dealt on as soon as possible), that entry falls outside the 15 June and 15 December Prohibited Periods and ideally inside one of the three four-week Dealing Windows, that the structure is fully covered by shares held so as not to offend the absolute short selling ban, and that a Director's dealing will be disclosed to the ASX within five business days."
REA,REA GROUP LTD,22217378881,Media & Entertainment,2026-05-08,Securities Dealing Policy,6 May 2026,"directors, employees and contractors | Restricted Persons | Directors | Members of the Executive Leadership Team | Connected Parties",closed,"The REA Board, or the Chairman of the Board acting alone, may determine any other period to be a Blackout Period. The Policy does not say whether such a determination is announced or kept confidential, but it also provides that REA may monitor dealings and block dealings it considers to be in breach, and may apply blocks or restrictions on securities held under an employee share scheme by the scheme administrator.",yes,yes,yes,not_addressed,yes,yes,not_addressed,any_secured_financing,excluded_dealing,prohibited,"Directors; on executing any cleared dealing (including entry into a hedge or grant of security, each of which is a dealing); the Company Secretary, to support REA's ASX Listing Rule disclosure obligations; within two business days of executing the dealing | Restricted Persons; before entering any margin loan or other secured lending arrangement, before transferring REA Securities into an existing margin loan account, and before selling REA Securities to satisfy a margin call; the Company Secretary (or the CEO if during a Blackout Period) via the Securities Dealing Request Form; prior written clearance, valid five business days",,"There is no power to waive the absolute prohibitions in sections 5.2(a) and 5.3 on Directors and Executive Leadership Team members hedging or entering secured financing; the only relief in the Policy is grandfathering of margin loan and secured financing arrangements duly approved under earlier versions of the Policy. For Blackout Periods, clearance to deal in exceptional circumstances (severe financial hardship or compliance with a court order) may be granted by the CEO, or by the Chair of the Board with the CEO or Company Secretary for directors. Clearance is discretionary, may be refused without reasons, may be withdrawn at any time before dealing, and is automatically withdrawn if Inside Information was withheld or subsequently arises.","Employee share and equity incentive plan rules (which determine vesting, holding locks and dealing restrictions, and under which the scheme administrator may apply blocks) | REA's annual report, which lists the employees and directors considered key management personnel","The Policy applies to directors, employees and contractors of REA or any of its subsidiaries in any part of the world, and notes that insider trading laws exist in many other countries | Australia: the Policy flags that for key management personnel, entering into a hedge or derivative over unvested or vested but holding-locked REA Securities is also an offence under the Corporations Act 2001 (Cth)",blocked,"A funded collar is not available to an REA director or Executive Leadership Team member. Section 5.2(a) bans them and their Connected Parties from hedging their exposure to REA Securities at all, with the hedging definition naming OTC products and collars specifically, and section 5.3 separately bans them from margin loans and any secured financing arrangement in respect of REA Securities; neither prohibition has a clearance route or hardship waiver, and the only relief is grandfathering of arrangements duly approved under earlier versions of the Policy. For Restricted Persons below that level the answer is different and unusually permissive: a hedge over vested REA Securities and the grant of security or a secured lending arrangement, including over unvested shares, are each permitted with prior written clearance from the Company Secretary, valid for five business days and revocable at any time before dealing. Any such structure must sit outside REA's four quarterly Blackout Periods, must not involve short selling or a buy and sell within three months without further clearance, and must not touch securities that are unvested or under a plan holding lock, which cannot be hedged at all. Lender enforcement is a helpful carve-out, being exempt from both blackouts and clearance, but a borrower selling to meet a margin call needs clearance, and a director's cleared dealing must be reported to the Company Secretary within two business days for ASX disclosure."
FPH,FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,21470861835,Health Care Equipment & Services,2013-08-29,Securities Dealing Policy and Guidelines (with Additional Dealing Restrictions for Restricted Persons),27 August 2013,"Directors, officers and employees | Restricted Persons",closed,"None stated. The Chief Financial Officer may add persons to the Restricted Persons tier by notification, but no one is given power to impose additional black-out periods.",yes,yes,no,no,not_addressed,yes,not_addressed,not_addressed,excluded_dealing,not_addressed,,,"The Board may approve updates, amendments to and exemptions to the policy, implemented by posting on the intranet. Approvers (any two directors, or a director and the CFO) may consent to dealing in a black-out period in exceptional circumstances (severe financial hardship, court order, or anything they deem exceptional) where sale or disposal is the only reasonable course; such consent is valid 5 business days.",Securities Markets (Disclosure of Relevant Interests by Directors and Officers) Regulations (NZ) | ASX Listing Rules,New Zealand insider trading law and NZSX (primary listing; results releases to NZSX anchor black-outs) | Securities Markets (Disclosure of Relevant Interests by Directors and Officers) Regulations (NZ) | Australian insider trading law and ASX Listing Rules,workable,"A funded collar over vested shares is possible under this 2013 policy. The purchased put and written call are financial products created over FPHC securities and therefore 'Restricted Securities', so a Restricted Person (director, CEO direct report, KMP or their controlled trust or company) must notify the CFO in writing and obtain consent from two directors or a director and the CFO, execute within 15 trading days, deal outside the black-out periods (30 September to the half-year results release, 30 days before balance date to the full-year results release, and 30 days before a prospectus), hold no material information, and advise the CFO promptly afterwards. The loan secured on the collared shares faces no restriction: margin lending, secured financing, hedging and encumbrances are not regulated, and a secured lender's enforcement sale is expressly excluded from the additional dealing restrictions (though still subject to insider trading law). Non-Restricted employees need no consent at all. Unwind, roll or physical settlement of the collar by the executive is a fresh dealing requiring new consent outside black-outs, and the 2013 date suggests confirming the policy remains current."
ORG,ORIGIN ENERGY LIMITED,20156147751,Utilities,2025-03-11,Dealing in Securities Policy,11 March 2025,Origin Personnel | Directors | ELT & ELT Direct Reports | All other employees | Associates,closed,"Company Secretary, in conjunction with the Chief Executive Officer, may impose and lift an 'Additional Prohibition' due to activity or knowledge within Origin. Confidential: it is unlikely to be announced; a person requesting clearance may be told on a confidential basis that a prohibition exists but not why or for how long.",yes,yes,no,no,not_addressed,yes,not_addressed,any_financing_in_respect_of_securities,breach,prohibited,,,None. Dealing during a Closed Period or Additional Prohibition 'will not be permitted' (8.2) and there is no hardship or discretionary waiver; the Board approves only material changes to the Policy.,,,blocked,"A funded collar is not possible under this policy. The unfunded derivative legs (purchased put and written call) over vested shares are a Dealing that Directors may enter with prior written clearance from the Chairman and Company Secretary (Manager and Company Secretary for ELT and their direct reports), executed within 2 business days, outside the 1 July and 1 January Closed Periods and any confidential Additional Prohibition, and not over plan securities that remain unvested or subject to performance hurdles. However, section 7.1 expressly bans margin lending and any other secured financing arrangement in respect of Origin Securities for all personnel and their Associates, with no exemption authority, so a loan secured on the collared shares is prohibited outright. A lender's forced sale in a Closed Period is a serious breach that may lead to dismissal, and there is no hardship relief. Tenor should exceed three months to avoid the short-term dealing ban, and any unwind or settlement is itself a Dealing requiring fresh clearance."
SUN,SUNCORP GROUP LIMITED,19981969003,Insurance,2022-05-10,Suncorp Securities Trading Policy,,"Suncorp Directors, Employees and Contractors | Prescribed Persons | Suncorp Directors | Executive Leadership Team | Connected Persons",closed,"The Suncorp Board of Directors may determine from time to time that any other period is to be a Closed Period. Separately, the Company Secretary may place individuals who may possess Price Sensitive Information on a 'Restricted List'; those individuals are told they are prohibited from Dealing and are told when the prohibition is lifted, but the policy does not say the list itself is announced.",yes,yes,yes,not_addressed,yes,yes,not_addressed,any_secured_financing,excluded_dealing,not_addressed,"Prescribed Persons and Connected Persons: at inception of a new or increased Margin Loan or other use of Suncorp Securities as collateral in a financial transaction, the request is made to the Company Secretary and reviewed by the Suncorp Chairman or the Group CEO before the arrangement may be entered into (section 6). | Suncorp Directors and Executive Leadership Team: after any Dealing (which includes granting a security interest over Suncorp Securities) by them or their Connected Persons, to the Company Secretary, within three business days (section 4). | Prescribed Persons: must keep, and produce to the Company Secretary on request, a register of every Dealing by themselves and their Connected Persons with supporting material such as contract notes (section 4, Record keeping).",,"'Policy Exemptions: No exemptions apply to this Policy.' The only relief routes are the Section 3 Exempt Dealing categories and a Section 8 waiver for Exceptional Circumstances, granted by the Suncorp Chairman (Directors), the Audit Committee Chairman (the Chairman) or the Group CEO (other Prescribed Persons), each acting through the Company Secretary. No one has power to waive the section 5.1 hedging ban or the section 5.2 short-term dealing and short selling bans, which are not expressed as Closed Period restrictions and so fall outside the waiver mechanism.",Policy Definitions Standard (defines commonly used terms and phrases not otherwise defined in this Policy),"ASX Listing Rule 12.10 (the policy is lodged under it) and Listing Rule notification of Directors' interests, which is the stated reason for the three business day post-trade notification | Corporations Act 2001 (Cth) insider trading provisions | Suncorp has an ADR programme (ADR: SNMCY) but the policy imposes no US-specific overlay",workable,"A funded collar is not possible under this policy, and the obstacle is the hedging ban rather than the financing. Section 5.1 prohibits all Suncorp Directors, Employees and Contractors from entering any hedging transaction designed to limit the economic risk of holdings in Suncorp Securities, and that ban is drafted around holdings generally, with unvested performance rights expressly swept in, so a purchased put and written call over vested unrestricted shares is caught; there is no clearance, waiver or exemption route out of it, because the Section 8 Exceptional Circumstances waiver only lifts Closed Period restrictions and the policy states that no exemptions apply. By contrast the loan leg would be workable in isolation: granting a mortgage, lien or charge over Suncorp Securities is a Dealing requiring prior written clearance, section 6 expressly contemplates a new or increased Margin Loan or 'other use of Suncorp Securities as collateral in a financial transaction' subject to personal review by the Suncorp Chairman or Group CEO who may impose any terms they see fit, and an involuntary disposal by a secured lender exercising its rights is an Exempt Dealing that can occur even in a Closed Period. If the hedging ban were ever amended, a structure would still need clearance for each leg from the Chairman (Directors) or Group CEO (other Prescribed Persons), execution within a specified period of no more than five business days, entry outside the 1 January, 1 July and pre-AGM Closed Periods and off the Restricted List, notification to the Company Secretary within three business days for Directors and ELT members, and a tenor beyond six months to avoid the short-term dealing ban on forward contracts."
